"model","checkpoint","pipeline","dataset","protocol","shots","seed","accuracy","macro_f1"
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","linear","10","3","45.5",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","linear","10","4","43.6",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","linear","10","5","41.3",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","linear","10","6","47.7",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","linear","10","7","43.4",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","linear","10","8","47.2",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","linear","10","9","48.3",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","linear","10","10","47.5",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","linear","10","11","46.1",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","linear","10","12","49.1",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","linear","10","13","48.4",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","linear","10","14","48.3",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","linear","10","15","39.9",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","linear","10","16","45.2",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","linear","10","17","44.8",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","linear","10","18","44.9",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","linear","10","19","47.4",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","linear","20","0","54.5",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","linear","20","1","56.3",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","linear","20","2","50.8",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","linear","20","3","57.6",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","linear","20","4","58.4",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","linear","20","5","54.5",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","linear","20","6","55.7",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","linear","20","7","52.7",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","linear","20","8","55.9",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","linear","20","9","59.2",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","linear","20","10","55.3",""
"phyd_ckpt250_historical","runs/sarjepa_official_phyd_2xh100/checkpoint-250.pth","legacy_downstream_not_strictly_comparable","MSTAR_SOC","linear","20","11","56.5",""
