"model","checkpoint","pipeline","dataset","protocol","shots","seed","accuracy","macro_f1"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","finetune","40","1","89.6","88.6"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","finetune","40","2","87.7","86.2"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","finetune","40","3","88.6","87.5"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","finetune","40","4","86.2","85.2"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","finetune","40","5","87.3","86.1"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","finetune","40","6","89.5","88.5"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","finetune","40","7","88.7","87.4"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","finetune","40","8","86.8","85.9"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","finetune","40","9","89.1","87.6"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","finetune","40","10","86.8","85.1"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","finetune","40","11","87.2","86.1"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","finetune","40","12","88.3","87.3"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","finetune","40","13","88.2","87.4"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","finetune","40","14","88.2","87.3"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","finetune","40","15","89.9","89.1"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","finetune","40","16","85.6","83.5"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","finetune","40","17","89.2","88.2"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","finetune","40","18","86.4","85"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","finetune","40","19","86.8","85.4"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","10","0","50","45.7"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","10","1","49.6","48"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","10","2","49.2","46.2"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","10","3","47.1","43.2"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","10","4","44.6","40.3"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","10","5","45.7","42.9"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","10","6","50","47.2"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","10","7","45.5","41.4"
"phyd_warmstart_ckpt299","runs/sarjepa_official_phyd_warmstart_bestckpt300_bs1088_lfst0p1_image_20260709_174032/checkpoint-299.pth","strict_official_downstream","MSTAR_SOC","linear","10","8","47.5","44.5"
